id,host_id,host_name,price,minimum_nights,number_of_reviews
221618,4887492,Gershwyn,150,3,82
222054,22486,Lisel,120,2,23
222304,1153993,Anton,199,4,32
223930,1164642,Rosalynn,150,5,24
224004,1165231,Deirdre,69,1,59
224006,1165231,Deirdre,300,55,6
224510,991380,Stefania,230,4,18
225297,1173599,Gaya,125,4,3
225306,1112560,Mary,79,3,115
225887,663879,Christopher,130,3,154
225926,1177497,Jessica,239,1,164
225976,1177947,Marina,75,6,76
226021,815977,Ryan,220,3,116
227715,209460,Marylyn,80,3,234
227735,1187935,Daniel,288,2,120
228317,1191142,Lady Jay,135,4,82
228496,1192424,Gordon,225,3,13
228517,1192610,Raven,110,30,59
228925,1194377,Marceline,100,7,63
228979,1190088,Tim,130,2,52
229367,1097545,Carol,89,1,278
229874,507304,Derrick,200,5,1
230321,1203500,Civan,80,2,35
230854,12221,Lori,50,5,235
230877,292204,Blanca,135,28,115
230956,1207399,Mark,90,1,109
231414,1184442,Roberto,270,5,1
232612,1217241,Dee,110,3,305
232618,763420,Selma,145,1,102
233189,1220414,Michael,179,30,83
233638,1012895,Melody,55,1,19
233662,1223568,Tiffany,110,2,61
234184,902054,William,325,5,89
234870,1229984,John,75,30,65
235552,1234405,Bertie,300,1,40
235651,83257,Olan,130,30,80
235951,1236070,Dan,190,30,136
235960,1236817,Blue,200,3,100
236671,1240820,Triny,180,2,125
236788,4166168,Nick And Noémie,350,5,40
236806,1151987,Juvie,160,4,0
237127,1146958,Liz,195,30,139
237210,1243192,Jacqueline,241,30,0
239055,65064,Ashley & Nir,300,7,2
239733,1256874,Nancy,75,28,49
239766,1257309,Austin,100,5,8
239826,1257760,Jay,399,1,0
239883,136962,Li,85,5,124
239899,1258363,Todd,80,21,5
240800,1263176,Joseph,55,1,147
241140,1177497,Jessica,438,1,43
241159,1264655,Ruari,110,6,8
241862,1269455,Mike,200,2,37
242532,1177497,Jessica,279,1,120
242643,1273825,Lauryn,137,1,24
243229,1276497,Alon,280,3,5
243708,288711,Andy,199,30,242
245504,714200,Baron,71,4,229
245544,1260921,Victor,42,2,108
245574,1288460,Al-,180,2,181
245607,825022,Jaidev,226,5,34
246134,283604,Shelley,85,3,5
246351,1292250,Jerry,135,1,5
246916,3647,Rafael,79,4,60
246938,936630,Jens,154,1,238
248865,417504,The Box House Hotel,199,3,34
248871,605463,West Village,700,3,131
249414,1306587,Andy,246,4,6
249618,1307773,Karina,125,60,4
249867,758441,Fred,100,1,7
250259,1311398,Ben,295,5,125
250311,945499,Kyle,150,3,0
250323,1311870,Christy,119,1,49
250536,1313306,Yvette,125,1,11
250537,1313306,Yvette,400,5,0
250801,1314834,Rhona,850,3,107
251262,1278802,Anne,129,2,241
251277,1317343,Carol,140,1,176
252076,297769,Tunji,115,4,151
252607,1325961,Chris,200,3,49
253332,552343,Cynthia,96,120,13
253466,417504,The Box House Hotel,199,3,33
253471,417504,The Box House Hotel,199,3,24
253475,417504,The Box House Hotel,199,3,59
253548,1331493,Olia,69,1,2
253590,1331850,G,185,2,16
253623,1332108,Cici,81,2,72
253800,417504,The Box House Hotel,199,3,24
253803,417504,The Box House Hotel,199,3,23
253806,417504,The Box House Hotel,199,3,43
253811,417504,The Box House Hotel,199,3,30
253815,417504,The Box House Hotel,199,3,39
253828,417504,The Box House Hotel,349,3,8
253839,417504,The Box House Hotel,249,3,3
253842,417504,The Box House Hotel,299,3,6
253846,417504,The Box House Hotel,179,3,4
254131,1267021,Sharma,54,5,56
254168,417504,The Box House Hotel,599,3,7
254409,1336542,Stephanie,110,1,2
255024,1340007,Roger,220,2,178
255476,1302029,Bree,89,30,30
255601,1343630,Antonio,170,2,190
255957,506779,Claudia,495,7,25
256078,1346437,Cristina,80,10,81
256328,1347034,Janine,760,2,7
256369,1348494,Pamela,98,4,216
257097,315401,Jaime,125,30,31
257568,1123923,Adolfo,48,90,53
257787,1356046,Daniel,64,3,247
258284,1358312,S,154,3,233
258397,1354758,Annie,139,3,135
258686,1233267,Kim,75,4,20
258688,436599,Chad,325,4,46
258690,1359611,Andrea,195,365,10
258740,1360043,Adrienne,58,1,143
258838,1360198,Marina,250,2,21
258876,1360198,Marina,50,7,0
259946,1360198,Marina,125,2,8
260451,52335,Alexander,70,7,4
260765,480943,Ro,189,2,314
261194,696482,Christine,130,3,18
261259,1370358,Keiko,145,7,11
261344,568103,Liah,101,7,51
261674,1372786,Lindsey,95,5,20
261781,1359519,Nadya,375,7,8
262343,1376385,Lauren,153,31,59
262405,1376778,Wade,92,4,54
262478,535128,Juliana,80,5,10
262583,605463,West Village,300,4,153
263005,1380060,Marisa And Colin,145,3,110
263190,1020539,Dominique,88,2,69
263232,1381171,Nicole,155,1,1
263502,1382749,Shaun,185,180,24
263776,1384111,Joanne,73,2,95
263888,1384559,C,225,2,129
264323,305972,Allan,85,7,171
265036,21188,Leo,99,2,20
265064,1123923,Adolfo,48,90,17
265145,1390947,Akiko,200,5,8
265506,1392440,Sandra,485,7,11
265831,1394190,Jen,310,5,5
265912,1394719,Jill,110,4,0
266146,1385157,Brian,109,30,36
266155,1385157,Brian,167,30,16
266351,1396546,Elena,147,15,5
266437,1397061,Asia Joanna,220,4,0
266449,1397115,Drew,195,4,68
266756,1398809,Roberto  Mike,199,28,89
267376,638721,Fred,65,30,10
267435,1402454,Jocelin,55,1,38
267535,1402951,Clara,50,2,15
267652,164675,Janice,60,2,20
267708,661399,Vivianne,99,3,25
268392,1406773,Eyal And Amy,130,2,35
268481,1380703,Vishal,290,30,1
268868,1408733,Sergio,350,3,64
269283,1410714,Antoinette,50,3,26
269889,1413098,M,96,2,244
270139,1093220,Chavisa,45,15,21
270231,1366310,Janina,85,2,270
270315,1398639,Juliet,34,10,16
270345,1415590,Cameron,250,3,24
270680,1315849,Javier Pedraza,190,1,30
270681,1315849,Javier Pedraza,75,2,5
271083,1217923,Kevin,93,4,115
271128,1417166,Lex,60,5,9
271130,1417166,Lex,65,5,45
271694,1387370,James,125,365,19
271950,1362808,Max,300,3,5
271954,1423798,Aj,150,2,203
272026,1423613,Arthur,56,122,20
272044,1195295,M,299,3,49
272427,511993,Diana,60,4,6
272706,1402817,Valerie,88,5,7
272738,1427381,Elizabeth,60,2,35
273190,605463,West Village,1300,5,28
273256,1429642,Delia,200,6,0
274062,1433395,Stacia,99,2,54
274329,1434654,Andrew,110,3,115
274376,1434931,Aaron,135,5,6
274743,1436404,Catherine,110,15,1
275976,1417757,Kwab,165,3,204
276216,1440691,Dena,127,180,1
276317,130901,Chauncey,402,3,89
276482,305972,Allan,85,6,130
277207,1447684,Rosa,75,7,15
277370,1448432,Jim,139,30,52
277883,950657,Michelle,70,6,58
278090,1451723,Bia,50,3,208
278145,1452026,Heidi,30,5,3
278631,1132207,Cathryne,250,30,7
278876,368528,Ally,64,1,1
279093,1455825,Erica,300,3,2
279857,1420300,Gordy,800,4,122
279969,240427,Naimah,100,3,63
280315,1151818,Gabrielle,250,5,26
281521,70614,Vimal,200,27,1
281756,1468658,Barbara,140,5,14
281851,1469036,Tw,130,1,107
282341,1471384,Dan,90,30,3
282443,36897,Lydia,90,3,107
282514,1464358,Dian,97,3,29
282863,322934,Kate,91,6,69
282977,1474071,Diana,125,3,232
283072,1474637,Eliza,75,7,0
283090,511175,Luis,180,7,24
283184,1427381,Elizabeth,300,7,0
283272,524730,Oz,100,19,5
283550,1476954,Jose,175,3,10
284208,1366270,Louisa,65,4,36
284855,1482460,Dara,240,5,94
285442,1475866,Jesper,300,6,1
285492,1486034,Eric,385,1,63
285716,1487126,Anamaria,47,15,5
286662,1491538,Erika,110,3,238
286838,1492339,Karin,75,2,101
287397,1029021,Jameelah,100,3,21
287408,1495090,Carey,165,2,72
287417,1495196,Yvette,300,2,40
287421,1495141,Keow,140,3,103
287481,1495502,Olly,120,6,66
287839,1498424,Hibo,175,3,35
